year,month,height,weight,prize_money,dominant_hand,backhand,forehand
1987,7,1.88,,60116.0,right,,
1993,10,,,3795.0,right,,
1987,3,1.88,,1496632.0,right,double,
1990,10,1.93,,532612.0,left,double,
1978,4,1.9304,91627.2,1.3389866E7,left,single,
1960,3,1.9304,,174337.0,right,,
1940,1,1.8288,,613837.0,right,single,
1947,8,1.524,,1165276.0,right,single,
1982,7,1.8288,77112.0,1573292.0,right,double,
1975,2,1.88,,3553302.0,right,double,
1987,2,1.7,,127959.0,right,double,
1991,12,1.75,,2124445.0,right,double,
1963,9,,,504238.0,right,double,
1967,11,1.9,,1.8343408E7,right,single,
1980,11,,,24235.0,left,,
1982,11,1.8,,832760.0,right,,
1994,11,,,14639.0,right,double,
1996,11,1.85,,1004925.0,right,double,
1974,7,1.9,78000.0,49943.0,right,,
1985,10,1.85,80000.0,212757.0,right,,
1958,7,,,755546.0,left,,
1961,8,1.85,,5509060.0,right,single,
1966,3,1.524,70000.0,818850.0,right,double,
1990,8,1.83,,539502.0,left,double,
1996,1,,,14440.0,right,single,
1965,5,1.75,75297.6,167847.0,right,,
1995,7,1.9,,24766.0,right,double,
1970,12,1.88,77100.0,2620024.0,right,single,
1986,4,1.92,93000.0,410076.0,right,double,
1972,1,1.78,,144612.0,right,,
1962,12,,,94910.0,right,,
1972,7,1.8288,,58580.0,right,,
1969,4,1.8288,77112.0,2439714.0,right,single,
1985,4,1.8288,77112.0,717365.0,right,double,
1979,8,1.9,,76398.0,right,,
1984,2,1.7,,728653.0,left,double,
1967,7,1.8542,,177318.0,right,,
1968,4,1.73,,242556.0,right,,
1952,1,1.8288,,2782514.0,right,single,
1954,12,1.905,,1426514.0,right,single,
1979,7,1.8288,,926975.0,right,double,
1982,5,1.905,,132648.0,right,,
1980,1,1.75,,382708.0,,,
1956,3,1.7272,,492338.0,left,,
1983,5,,,132941.0,right,single,
1967,4,1.75,,361152.0,right,,
1993,7,,,48590.0,right,double,
1982,2,1.8,77000.0,3088966.0,right,double,
1965,12,1.85,,1234108.0,right,double,
1979,12,1.74,,539614.0,right,single,
1989,12,1.83,,422484.0,right,double,
1960,4,,83916.0,98692.0,right,,
1990,6,1.8,67000.0,7234.0,right,double,
1998,7,,,6863.0,right,double,
1955,6,1.9304,,454343.0,right,single,
1969,10,,,5159775.0,right,double,double
1964,9,1.83,,861245.0,right,,
1993,5,1.7,,39306.0,,,
1988,2,,,47708.0,right,double,
1979,8,,,200051.0,right,double,
1989,5,,,180779.0,right,double,
1957,9,1.8288,,108448.0,right,,
1959,6,,,67880.0,right,,
1997,1,1.78,,8180.0,right,double,
1994,1,1.71,,12262.0,,,
1963,11,,79380.0,29981.0,right,,
1991,6,1.9304,,191516.0,right,double,
1988,8,,,48093.0,right,double,
1990,8,1.524,,48947.0,right,double,
1983,10,1.83,,343567.0,right,double,
1987,4,,,66332.0,right,double,
1986,11,,,77432.0,right,double,
1992,7,,,133703.0,,,
1958,10,1.9812,,479798.0,right,single,
1994,1,,,32395.0,right,double,
2000,2,,,4170.0,right,double,double
1979,4,1.67,,603590.0,right,double,
1995,2,,,22938.0,right,double,
1968,4,1.9557999999999998,,208917.0,right,single,
1987,11,1.8288,69853.22498,168596.0,right,single,
1954,12,1.68,,8895195.0,right,double,
1985,7,,,1474899.0,left,single,
1971,4,1.78,,1195315.0,left,,
1965,1,,,447.0,right,,
1957,3,1.8,75000.0,647550.0,right,single,
1970,1,1.8,,2400000.0,right,single,
1973,1,1.88,82000.0,1903659.0,right,double,
1967,2,1.9,,231280.0,right,,
1967,7,1.8,68040.0,1262792.0,right,double,
1996,5,1.83,,76610.0,right,double,
1994,5,1.78,73000.0,70124.0,right,,
1991,11,1.93,,177220.0,right,double,
1967,7,1.85,,651069.0,right,,
1972,8,1.88,,1399813.0,right,double,
1968,7,1.9,,738632.0,right,,
1975,9,1.83,,482534.0,left,,
1983,11,,,56704.0,right,double,
1992,5,1.7,,2248571.0,right,double,
1994,4,,,46625.0,,,
1968,7,1.76,,517879.0,,,
1982,4,1.61,55000.0,357140.0,right,double,
1962,10,1.86,,1928431.0,right,single,
1978,12,1.7,68000.0,2312971.0,right,double,
1957,7,1.88,,8937.0,right,single,
1974,6,,83916.0,249730.0,right,,
1990,3,,,27499.0,right,double,
1980,6,1.87,,1250650.0,right,double,
1990,1,1.74,,28943.0,right,,
1973,2,,,298427.0,right,double,
1985,1,1.68,,1427673.0,right,double,
1971,4,1.8542,,818519.0,right,,
1977,1,,,34345.0,right,,
1996,5,1.85,,402921.0,right,double,
1999,4,1.68,,145344.0,,,
1992,11,,,75672.0,right,double,
1978,3,,,189446.0,right,double,
1971,3,1.96,,24735.0,right,,
1978,3,1.73,59000.0,62153.0,right,,
1986,2,1.78,67000.0,489036.0,left,single,
2000,5,,,19595.0,right,double,
1986,7,,,87275.0,left,double,
1968,3,,,564182.0,right,double,
1981,8,1.79,,678184.0,left,double,
1990,7,,,79867.0,right,double,
1963,12,1.87,,2227116.0,right,single,
1996,2,,,6050.0,,,
1983,8,1.69,,542186.0,right,double,
1985,7,1.8,,135321.0,right,double,
1960,2,1.78,,455711.0,right,,
1992,5,1.98,,9570.0,right,double,
1972,1,,77112.0,63729.0,right,,
1994,11,1.73,,40308.0,right,double,
1961,5,,,198638.0,,,
1984,7,,,43924.0,right,,
1991,12,1.85,,2186512.0,right,double,
1955,5,1.8542,,327277.0,right,,
1984,8,,,984029.0,right,,
1995,12,1.8796,83916.0,49422.0,right,double,
1972,4,1.73,,1.1527977E7,right,single,
1976,1,1.71,,618599.0,right,double,
1990,12,,,131082.0,,,
1981,9,1.85,82000.0,247686.0,right,double,
1990,11,,,74739.0,right,double,
1992,5,,,43387.0,right,double,
1997,6,,,3733.0,left,double,
1978,1,,,1733916.0,,,
1989,7,,,360889.0,right,double,
1994,5,,,19650.0,,,
1953,2,1.78,,775783.0,right,single,
1990,9,1.88,,19732.0,left,double,
1982,9,,,46599.0,right,double,
1962,10,,,139258.0,right,,
1963,7,1.905,,65931.0,right,,
1990,6,,,28228.0,right,double,
1982,1,1.8,,191594.0,right,,
1970,5,1.78,,1368916.0,right,single,
1993,1,,,107554.0,right,double,
1974,9,1.71,,1000722.0,right,double,
1990,8,,,64767.0,right,double,
1987,8,1.68,,13152.0,,,
1970,8,1.82,79000.0,2452512.0,right,double,
1975,8,1.91,,1391440.0,right,single,
1967,1,1.8,80000.0,3651530.0,right,double,
1960,2,1.8,,986595.0,right,single,
1969,6,1.87,,6921029.0,right,single,
1990,1,1.89,,134027.0,right,double,
1981,7,1.75,67000.0,150209.0,right,,
1975,6,,,663007.0,right,double,
